asof_date,property_title,price,property_description,property_type,location,postal_code_area,property_link,Available,Minimum term,Maximum term,Furnishings,Parking,Garage,Garden/terrace,Balcony/patio,Disabled access,Living room,Broadband included,Couples OK?,Smoking OK?,Pets OK?,Occupation,References?,Min age,Gender,Max age,Vegetarian,data_source
2023-04-17,5 bed house BILLS INC near Oxford Rd,£520 pcm,"BILLS INCLUDED 5 bed house available, walking distance to Oxford rd Manchester in Rusholme, close to all amenities, hospitals, universities, shops, supermarkets, parks, all amenities.Student must have UK guarantors, and working tenants must have proof of income. 5 beds1 reception room 1 toilets 1 bathroom.","House
        to rent",Rusholme,M14,https://www.spareroom.co.ukhttps://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=16539756&search_id=1212213745&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Foffset%3D00%26search_id%3D1212213745%26sort_by%3Dby_day%26mode%3Dlist&,22 Apr 2023,6 months,None,Furnished,,,,,,,,,Yes,No,Don't mind,,,,,,Spareroom
2023-04-17,Spacious Private 1 Bed Basement Apartment,£520 pcm,"Bigger than average light and airy basement apartment at the back of the block with separate private access and huge hardly used shared back garden hoping for someone to love it, mow it, look after it,  and organise a big BBQ on a warm summer evening.1 big bedroom, open plan kitchen diner, living room.... it's a lovely place for a single or a couple wishing to be walking distance to Werburgh Tram stop, Chorlton Bars & Cafes with the quiet neighbourhood Whalley Range offers. Room to leave your bike out the front of your flat.Parking available onsite shared amongst residents.Lovely and cool in summer, warm in winter. Please bring your photo ID, references with you for a relaxed viewing. We hope to view Friday 21st April after lunch Cate x","Flat
        
        to rent",Whalley Range,M16,https://www.spareroom.co.ukhttps://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=10808881&search_id=1212213745&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Foffset%3D10%26search_id%3D1212213745%26sort_by%3Dby_day%26mode%3Dlist&featured=1&listing_click=1,01 May 2023,6 months,None,Furnished,Yes,No,Yes,No,No,,,,No,No,Professional,Yes,,,,,Spareroom
2023-04-17,Brand New Professional Houseshare ð,£625 pcm,"IDEAL LOCATIONSpacious houseshare ideal for busy professionals looking for a clean new home. The house is just a 5 minute walk from the train station with a direct route to the city centre.--------------------------------------------------------------------**NEXT STEPS** >>> see section below <<<We are currently experiencing a high volume of enquiries and our team will review your request as soon as possible. If you are selected then you will receive a call back over the next few days. Please do not call the office as we are unable to deal with viewings/applications over the phone.--------------------------------------------------------------------> All bills included> 5 minute walk to Swinton Shopping Centre (Asda, B&M, Boots, Banks)> 10 minute walk to Swinton & Pendlebury Leisure Centre> 5 minutes to the M60> Superfast fibre optic broadband> Cleaner included> Fully furnished> Fully equipped kitchenSORRY NO COUPLES, STUDENTS, CHILDREN OR PETSHOUSE RULESPlease note that there is a strict no-smoking, no drugs policy.1. Be Kind and Respectful2. Clean Up After Yourself3. Recycle and Take Out the Bins When Itâs Your Turn4. Keep noise to a minimum after 10pm5. Overnight Guests - maximum of 2 consecutive nights in any 7-day period up to a limit of 4 nights in a 4-week period------------------------------------------------------------------**NEXT STEPS**Yes this room is available! The advert will be removed once the room is taken. Please only message us with:> Full name> Contact Number> Email address> Age> Job Role & Company> Contract Type: Full-Time, Part-Time, Zero Hours> How long you've been working there> Availability for viewings> Best time for a call back> A bit about you and what you are looking for",House share,Swinton,M27,https://www.spareroom.co.ukhttps://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=16440093&search_id=1212213745&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Foffset%3D10%26search_id%3D1212213745%26sort_by%3Dby_day%26mode%3Dlist&,Now,6 months,None,Furnished,No,No,No,No,No,shared,Yes,No,No,No,Professional,Yes,21,Males or females,35,,Spareroom
2023-04-17,"Room available in 2 bed flat share Salford, M5",£600 pcm,"Sixth floor apartment in Oxbow building, Salford.  Would be sharing the flat with a couple in their twenties. 2 bed 2 bathroom flat with balcony looking out to Old Trafford and Salford Quays in the distance. The building is pretty new and has a residents gym, roof terrace, concierge and barbecue area. Bus stop 1 minute away and around 15 minutes walk to Manchester City centreFlatmates are a couple in their twenties both working full time (one mainly working from home). The contract on the flat runs until the end of October. Move in date would be the start of May.Please get in touch for further info or with any questions",Flat share,Salford,M5,https://www.spareroom.co.ukhttps://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=16675636&search_id=1212213745&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Foffset%3D10%26search_id%3D1212213745%26sort_by%3Dby_day%26mode%3Dlist&,01 May 2023,6 months,6 months,Furnished,,,,Yes,Yes,shared,Yes,No,No,No,Professional,,22,Males or females,29,,Spareroom
2023-04-17,"Silver Ensuite to Rent, Student Quarter, Salford",£163 pw,"This is a 3-month short-term stay, starting on the 1st of June. It is located at M6 6FJ, just behind the University of Salford.Are you a student looking for a comfortable and convenient living space in Salford? IQ Student Quarter is the perfect choice for you! Our rooms are en-suite and include access to a gym and a parking space, making your student life much easier.But that's not all! IQ Student Quarter also includes communal spaces, ideal for socializing and getting to know your fellow students, as well as designated study areas for those who need to focus on their studies. We even have laundry rooms available so that you can always have clean clothes!At IQ Student Quarter, we pride ourselves on our excellent receptionist service. They are always on hand to handle any packages you may receive and to solve any problems you might encounter. With their friendly and efficient service, you can rest assured that your needs will be taken care of promptly and with a smile.One of the best things about IQ Student Quarter is that there are no hidden charges or booking fees - the price you see is the price you pay. With our affordable rates and all-inclusive packages, you can budget with ease and enjoy your student life in comfort and style. There is no council tax (subject to proof of studentship).IQ Student Quarter is located just a 10-minute walk from the University of Salford, and you'll be sharing the flat with five friendly and welcoming flatmates. So why not book your room today and enjoy everything IQ Student Quarter has to offer? It's the perfect choice for any student in Salford!This space is available for 3 months. Speak to reception for further booking for next academic year! Thank you.",Flat share,Salford,M6,https://www.spareroom.co.ukhttps://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=16676777&search_id=1212213745&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Foffset%3D10%26search_id%3D1212213745%26sort_by%3Dby_day%26mode%3Dlist&,01 Jun 2023,None,3 months,Furnished,Yes,No,Yes,No,No,shared,Yes,No,No,No,Student,No,,Males or females,,,Spareroom
2023-04-17,Available from Sep 2023 .Walking  distance UNI,£450 pcm,"Nice Clean well maintained  house, Walking distance from UNIVERSITY,  City Center Nice Big  bed room with a King size Bed and Memory Foam Mattress.  Wardrobe, Table and Chair in every room.. Corner house with lot of LIGHT .1 mint walk from Bus Stop towards City Center and University. Looking for people who keep the house clean . ERASMUS  STUDENTS ARE WELCOME .69-73 mbps  speed unlimited internet There is Parking in  Front and Can be parked in the Garden . The rooms have South facing Windows so there lot of light. The room are nice and bright . It has a toilet Downstairs and a Toilet and Shower  upstairs. New Kitchen Handleless and Gloss Cabinets has a Bosch Hob, Bosh oven , Bosch Fridge.  Mixer Toaster . Unlimted  superfast internet .",House share,Rusholme,M14,https://www.spareroom.co.ukhttps://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=12940801&search_id=1212213745&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Foffset%3D10%26search_id%3D1212213745%26sort_by%3Dby_day%26mode%3Dlist&,Now,12 months,24 months,Furnished,Yes,,Yes,Yes,,shared,Yes,No,No,No,Student,Yes,18,Males or females,27,,Spareroom
2023-04-17,Spacious One Bedroom Apartment,£450 pcm,"A spacious one bedroom apartment located on the fifth floor in One Vesta-The apartment has views of the city, comes furnished including a sofa bed. -The building offers amenities such as friendly 24-hour concierge, a secure parcel room and a communal garden terrace. -An open plan living / kitchen area providing you a great sense of space. It is in a prime location- minutes away form cutting room square with neighbourhood favourites such as Elnecot and Rudy's.  One Vesta is well connected to the rest of Manchester with Piccadilly Train Station, Victoria Train Station and New Islington Metrolink all a short walk away.Council tax- band B. EPC rating BViewings are highly recommended, the flat is available for rent from 1 May 2023","Flat
        
        to rent",Ancoats,M4,https://www.spareroom.co.ukhttps://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=16676764&search_id=1212213745&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Foffset%3D10%26search_id%3D1212213745%26sort_by%3Dby_day%26mode%3Dlist&,30 Apr 2023,6 months,None,Furnished,No,No,No,No,No,,,,No,No,Professional,No,,,,,Spareroom
2023-04-17,Flat near Oxford Road station,£590 pcm,Double bedroom in a shared flat near Oxford road station in the city centre. Close to St Peterâs square and Deansgate. Room has an on suite bathroom. Any information donât hesitate to contact me,Flat share,Manchester City Centre,M1,https://www.spareroom.co.ukhttps://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=16676733&search_id=1212213745&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Foffset%3D10%26search_id%3D1212213745%26sort_by%3Dby_day%26mode%3Dlist&,01 May 2023,None,6 months,Furnished,Yes,,,,,shared,Yes,No,No,No,Don't mind,,,Males or females,,,Spareroom
2023-04-17,Double ensuite in Hulme for student/Professional,£475 pcm,"HelloI have a large double room in a large decent, if not great, flat in a quiet area (Hulme) to let. The flat is fully furnished and equipped with almost everything. It has two bedrooms and two bathrooms!Your room: A large room with a double bed, wardrobe, desk, chair, and a large window with a great view. The room is bright and spacious. You have your private family-size bathroom as well! Living room and kitchen: They are clean and shining. There is a very large floor to ceiling window and a balcony! There is another large window next to the dining table. The view has an eternal perspective toward the city centre towers and parks. The Kitchen has perfectly equipped. The heating system is radiator working with a nice Combi boiler (gas). Both bathrooms are comfortable, large and clean.Location: 10-20 minutes to universities, shopping centres and city centre. Only 9 minutes walking to MMU brook building. 10 minutes to ASDA. 19 minutes walking to AMBS, and 20 minutes walking to University of Manchester, Oxford road. Also, by taking buses 250, 251, 85, and 86, you can go to the city center, Piccadilly Garden, within 20 minutes.Rent: The rent is £450 to £500 based on the duration of the contract. I can let the room from 23 April 2023 until 15 October 2023 but I am flexible for contract duration.Bills: Ultrafast broadband and Water is free for you. Gas and electricity might be around £40-50 per person per month during spring and summer.About myself: I am no longer a student and have defended my PhD viva! At the moment, I am a lecturer of finance at the University of Manchester. Council tax: I should pay council tax that is £120 per month (band B). If you are a student, you do not need to pay. But, If you are a professional, then, you have to pay half of it (£60 per month).Regards, Mohammad",Flat share,Hulme,M15,https://www.spareroom.co.ukhttps://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=15972970&search_id=1212213745&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Foffset%3D10%26search_id%3D1212213745%26sort_by%3Dby_day%26mode%3Dlist&,23 Apr 2023,3 months,12 months,Furnished,Yes,No,Yes,Yes,No,shared,Yes,No,No,No,Don't mind,No,20,Males or females,40,,Spareroom
2023-04-17,Double Room by the River | Friendly Flatmate,£660 pcm,"Looking for a flatmate! ðð» 1 double bedroom and en suite with a shared living room including a TV and fully equipped kitchen. Thereâs a balcony with chairs and a table. The apartment building includes: - Free WiFi included in the flat- A two story gym with weekly classes - A two story co-working space with bookable private rooms- Concierge and postal service - Less than 10 minute walk into townIâm a 27 year old professional, I work remotely but travel globally for work 3-7 days per month. I like to cook, relax with a good series, read & go to the gym ðI can do a video viewing prior to in person!",Flat share,Manchester,M3,https://www.spareroom.co.ukhttps://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=16676656&search_id=1212213745&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Foffset%3D10%26search_id%3D1212213745%26sort_by%3Dby_day%26mode%3Dlist&,26 Jun 2023,12 months,12 months,Furnished,Yes,,,Yes,Yes,shared,Yes,No,Yes,Yes,Don't mind,,,Males or females,,,Spareroom
2023-04-17,En suite rooms in Cheetam hill,£650 pcm,Ensuite rooms available in newly refurbished flat All rooms are ensuite Share only kitchen- living areaProperty is situated on Bury old road Near tesco superstore Good transport to city centreRooms of various sizes starts from £600 / month Bills included,Flat share,Salford,M7,https://www.spareroom.co.ukhttps://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=16609363&search_id=1212213745&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Foffset%3D10%26search_id%3D1212213745%26sort_by%3Dby_day%26mode%3Dlist&,Now,6 months,None,Furnished,,,,,,shared,,No,No,No,Don't mind,,,Males or females,,,Spareroom
